0.0,71.0
2.0,69.0
4.0,71.0
6.0,60.0
8.0,71.0
10.0,62.0
12.0,63.0
14.0,62.0
16.0,63.0
18.0,73.0
20.0,78.0
22.0,77.0
24.0,78.0
26.0,78.0
28.0,78.0
30.0,78.0
32.0,78.0
34.0,68.0
36.0,78.0
38.0,69.0
40.0,77.0
42.0,70.0
44.0,78.0
46.0,75.0
48.0,78.0
50.0,77.0
52.0,78.0
54.0,70.0
56.0,78.0
58.0,71.0
60.0,81.0
62.0,68.0
64.0,83.0
66.0,67.0
68.0,83.0
70.0,69.0
72.0,79.0
74.0,75.0
76.0,0.0
78.0,68.0
80.0,0.0
82.0,67.0
84.0,83.0
86.0,68.0
88.0,80.0
90.0,68.0
92.0,81.0
94.0,67.0
96.0,68.0
98.0,66.0
100.0,81.0
102.0,69.0
104.0,80.0
106.0,67.0
108.0,83.0
110.0,68.0
112.0,81.0
114.0,81.0
116.0,81.0
118.0,81.0
120.0,21.0
122.0,20.0
124.0,21.0
126.0,20.0
128.0,20.0
130.0,22.0
132.0,81.0
134.0,79.0
136.0,81.0
138.0,79.0
140.0,83.0
142.0,81.0
144.0,81.0
146.0,79.0
148.0,82.0
150.0,79.0
152.0,0.0
154.0,37.0
156.0,0.0
158.0,84.0
160.0,0.0
162.0,104.0
164.0,0.0
166.0,101.0
168.0,103.0
170.0,101.0
172.0,0.0
174.0,102.0
176.0,0.0
178.0,102.0
180.0,0.0
